name,red,green,blue,alpha,id
Unknown,0,0,0,0,0
conference_table,128,64,128,255,1
lubricant,244,35,232,255,2
jimmies_jar,70,70,70,255,3
cooked__diced__broccolini,102,102,156,255,4
cooked__blueberry,190,153,153,255,5
diced__cauliflower,153,153,153,255,6
detergent,250,170,30,255,7
fur_coat,220,220,0,255,8
bag_of_flour,107,142,35,255,9
clothes_dryer,152,251,152,255,10
wine_sauce,70,130,180,255,11
oyster,220,20,60,255,12
butter_package,255,0,0,255,13
desk_leg,0,0,142,255,14
gravel,0,0,70,255,15
straight_chair,0,60,100,255,16
arepa,0,80,100,255,17
half_chorizo,0,0,230,255,18
jigger,119,11,32,255,19
bookcase_baseboard,255,204,54,255,20
half_gourd,80,50,50,255,21
cooked__diced__auricularia,4,250,7,255,22
pedestal_table,224,5,255,255,23
keyboard,235,255,7,255,24
cooked__diced__bell_pepper,150,5,61,255,25
pants,120,120,70,255,26
cooked__diced__sirloin,8,255,51,255,27
diced__nectarine,255,6,82,255,28
orange,143,255,140,255,29
cleaver,204,255,4,255,30
bunch_of_bananas,255,51,7,255,31
bottle_of_powder,204,70,3,255,32
diced__tiramisu,0,102,200,255,33
bottle_of_almond_oil,61,230,250,255,34
diced__feta,255,6,51,255,35
wheat,11,102,255,255,36
cream_cheese_box,255,7,71,255,37
pancake_batter,255,9,224,255,38
salt_shaker,9,7,230,255,39
cooked__yogurt,220,220,220,255,40
diced__green_bean,255,9,92,255,41
cooked__margarine,112,9,255,255,42
diced__trunk,8,255,214,255,43
box_of_sake,7,255,224,255,44
half_cheesecake,255,184,6,255,45
jar_of_curry_powder,10,255,71,255,46
room_ventilator,255,41,10,255,47
scoop,7,255,255,255,48
box_of_apple_juice,224,255,8,255,49
cooked__diced__brownie,102,8,255,255,50
bouquet,177,118,143,255,51
jimmies,112,178,191,255,52
fire_extinguisher,118,63,235,255,53
diced__pumpkin,207,105,166,255,54
clothesline_pole,85,162,192,255,55
jelly_bean_jar,73,100,88,255,56
jar_of_kidney_beans,193,52,171,255,57
peanut_butter_jar,60,144,200,255,58
