name,red,green,blue,alpha,id
Unknown,0,0,0,0,0
conference_table,128,64,128,255,589590
lubricant,244,35,232,255,1673041
jimmies_jar,70,70,70,255,1841319
cooked__diced__broccolini,102,102,156,255,3432230
cooked__blueberry,190,153,153,255,5619478
diced__cauliflower,153,153,153,255,5642558
detergent,250,170,30,255,6134247
fur_coat,220,220,0,255,7759024
bag_of_flour,107,142,35,255,8331767
clothes_dryer,152,251,152,255,8573158
wine_sauce,70,130,180,255,10217866
oyster,220,20,60,255,12580721
butter_package,255,0,0,255,12627689
desk_leg,0,0,142,255,14652129
gravel,0,0,70,255,16444179
straight_chair,0,60,100,255,16716016
arepa,0,80,100,255,16813423
half_chorizo,0,0,230,255,17048889
jigger,119,11,32,255,17251507
bookcase_baseboard,255,204,54,255,18479467
half_gourd,80,50,50,255,19297686
cooked__diced__auricularia,4,250,7,255,19559214
pedestal_table,224,5,255,255,20002066
keyboard,235,255,7,255,20210247
cooked__diced__bell_pepper,150,5,61,255,20606631
pants,120,120,70,255,20634257
cooked__diced__sirloin,8,255,51,255,20995384
diced__nectarine,255,6,82,255,21087607
orange,143,255,140,255,21163213
cleaver,204,255,4,255,21441820
bunch_of_bananas,255,51,7,255,22071967
bottle_of_powder,204,70,3,255,22654759
diced__tiramisu,0,102,200,255,23725161
bottle_of_almond_oil,61,230,250,255,24802304
diced__feta,255,6,51,255,27710718
wheat,11,102,255,255,28470705
cream_cheese_box,255,7,71,255,29044217
pancake_batter,255,9,224,255,29671123
salt_shaker,9,7,230,255,31105241
cooked__yogurt,220,220,220,255,31723162
diced__green_bean,255,9,92,255,31792459
cooked__margarine,112,9,255,255,32017976
diced__trunk,8,255,214,255,32878518
box_of_sake,7,255,224,255,33530669
half_cheesecake,255,184,6,255,34509896
jar_of_curry_powder,10,255,71,255,34685255
room_ventilator,255,41,10,255,35946317
scoop,7,255,255,255,36171793
box_of_apple_juice,224,255,8,255,37013295
cooked__diced__brownie,102,8,255,255,37768497
bouquet,177,118,143,255,38861157
jimmies,112,178,191,255,38945227
fire_extinguisher,118,63,235,255,39297679
diced__pumpkin,207,105,166,255,39510577
clothesline_pole,85,162,192,255,40171972
jelly_bean_jar,73,100,88,255,41347371
jar_of_kidney_beans,193,52,171,255,42869060
peanut_butter_jar,60,144,200,255,42891612
half_virginia_ham,198,100,102,255,44545320
diced__pie_crust,107,71,216,255,44586455
cooked__diced__ginger,128,122,197,255,45069489
mayonnaise,176,96,192,255,45798830
eyeglasses,197,94,66,255,46230576
carton_of_eggs,163,163,125,255,47101771
solvent_bottle,171,81,211,255,47743523
magazine,156,123,123,255,48805308
bicycle,68,129,161,255,48886525
lemon_peel,69,79,246,255,49359590
pill_bottle,239,169,226,255,49618546
iron,225,59,74,255,50344721
scanner,80,125,229,255,51502343
marinara,132,180,208,255,52750275
mixing_bowl,68,250,202,255,55691069
tent,121,81,178,255,56535352
cooked__diced__cookie_dough,206,181,79,255,56650313
pecan,165,199,161,255,58982217
jar_of_tumeric,144,168,149,255,59026018
coffee_bean,254,114,133,255,60828515
muffin_batter,98,74,126,255,61355896
cooked__diced__pear,87,162,139,255,62247035
barbecue_sauce_bottle,119,150,188,255,62697851
half_macaroon,179,166,136,255,63018070
perspiration,87,246,175,255,63177681
poultry_seasoning,177,167,72,255,63736968
diced__butternut_squash,237,122,248,255,63907839
cooked__diced__carrot,101,229,207,255,64526727
bottle_of_mayonnaise,252,249,57,255,65063856
bottle_of_supplements,87,238,98,255,66928982
half_papaya,151,98,135,255,67441402
half_apricot,70,246,205,255,68730124
checkout_counter,102,232,73,255,69710842
wire_cutter,71,201,94,255,70061482
tonic,157,182,194,255,71206502
half_cheddar,176,194,235,255,73353222
half_artichoke,189,96,81,255,73851046
utility_knife,244,186,181,255,74277604
hanger,144,130,222,255,74870125
electric_hand_mixer,99,159,145,255,78237144
bagel_dough,141,197,61,255,78696197
half_cheese_tart,153,147,101,255,78962985
hand_towel,87,167,166,255,80801013
shopping_cart,198,99,188,255,83725098
folderal,87,223,207,255,85373837
butternut_squash,232,166,234,255,86067187
ceiling_fan,55,100,237,255,86655596
cooked__cranberry,201,139,198,255,89107237
plum,231,172,54,255,89567412
clove_jar,113,208,198,255,90229932
peach,83,233,71,255,90683674
pack_of_kielbasa,121,108,167,255,90896636
cooked__cocoa,149,253,203,255,91969564
cooked__iced_chocolate,104,130,176,255,93205125
yogurt,173,220,198,255,93232585
pommel_horse,57,217,234,255,94260779
microwave,111,194,75,255,94352014
cooked__orzo,122,100,249,255,94399364
infant_car_seat,240,203,189,255,95589933
can_of_soda,111,96,92,255,96703038
toy_box,232,211,96,255,97214814
commercial_kitchen_shelf,123,96,239,255,100766850
mustard,181,113,98,255,102295051
cooked__diced__pineapple,72,105,199,255,103048777
diced__cupcake,180,104,202,255,103734538
pickle,63,118,72,255,103918746
gas_fireplace,121,190,51,255,104005067
cooked__diced__cherry_tomato,112,106,203,255,104072215
cleansing_bottle,196,65,197,255,104262053
pool_ball,61,209,198,255,105690400
bottle_of_sour_cream,110,153,180,255,106113248
half_cucumber,200,250,183,255,106400676
diced__frank,183,158,119,255,106566601
paperback_book,130,145,247,255,107026327
diced__duck,155,89,154,255,107680443
jar_of_peppercorns,176,140,173,255,107839865
cardamom,173,183,100,255,108737975
cooked__mace,221,145,210,255,111097222
flour,197,159,185,255,112365142
lock,68,96,154,255,113513096
pillowcase,99,147,165,255,114114334
baby_shoe,50,227,207,255,114401552
bottle_of_sake,247,74,57,255,114955113
mannequin,182,249,57,255,116236156
vinegar_atomizer,199,227,224,255,116524099
hanging_plant,97,61,54,255,117903990
hotdog_frank,164,59,166,255,118114852
flower,243,158,183,255,118352236
hoodie,84,85,209,255,118496296
ammonia_water,204,214,88,255,119496021
beet,153,229,212,255,121499397
tuna,68,75,114,255,122800850
jar_of_spaghetti_sauce,133,152,98,255,122993657
mop_bucket,230,154,232,255,125516423
lipstick,243,150,210,255,126499407
cooked__diced__onion,175,69,59,255,127567403
heatgun,102,252,146,255,128156882
spice_cookie,198,178,188,255,128663285
diced__spinach,174,156,239,255,128799734
oden_cooker,206,175,107,255,129101760
pasta_box,225,106,76,255,129971615
cornmeal,150,93,222,255,131169781
bush,81,179,137,255,131448938
cooked__chia_seed,182,102,190,255,133215234
half_chanterelle,63,226,210,255,133976136
granulated_sugar,188,209,167,255,134216715
half_lime,74,239,127,255,134659883
diced__halibut,54,65,233,255,135047289
whipped_cream,95,211,204,255,135150845
acetone_atomizer,108,72,134,255,137828917
display_fridge,240,79,182,255,138033545
jar_of_honey,115,183,209,255,138252309
glitter,251,138,200,255,138486668
analgesic,250,255,193,255,139057361
cinnamon_stick,140,99,104,255,139410060
conditioner_atomizer,132,174,221,255,139624002
bag_of_cream_cheese,255,51,163,255,140053940
half_green_onion,163,110,63,255,140462247
cooked__diced__peppermint,57,64,246,255,141139517
smoothie,105,177,157,255,142013472
broken_light_bulb,78,192,169,255,142319172
diced__broccoli_rabe,100,81,66,255,142324785
clove,86,70,222,255,142598242
iced_chocolate,198,228,76,255,143948871
cooked__flour,165,140,109,255,144279605
half_pretzel,77,73,241,255,145608335
cooked__cream_cheese,120,51,111,255,145630731
cooked__diced__brussels_sprouts,78,88,89,255,145845661
cooked__diced__crescent_roll,137,219,156,255,147792848
diced__club_sandwich,139,171,255,255,148990659
lace,252,230,106,255,151585586
honey,173,240,120,255,153463169
fillet,69,93,242,255,154916980
cooked__diced__chicken_breast,244,185,251,255,155124332
half_mango,145,126,72,255,156209293
cooked__corn_syrup,193,168,245,255,156624268
paper_towel_holder,204,67,198,255,157099802
swimming_pool,202,151,60,255,157163323
cheese_danish,216,179,232,255,157218647
windshield,188,53,83,255,157665701
cauldron,63,196,232,255,157851922
jar_of_jam,138,240,150,255,160202454
beef_broth_carton,61,102,238,255,160456912
cooked__diced__porkchop,67,232,133,255,160761678
half_turkey_leg,245,148,215,255,161579841
smoker,73,60,175,255,162247664
soda_water,151,71,199,255,167429960
diced__veal,161,173,235,255,167690232
diced__lobster,52,70,128,255,169644106
bottle_of_bug_repellent,179,218,221,255,169754789
bag_of_shiitake,121,184,249,255,170933899
swing,192,218,55,255,171705736
cooked__diced__peach,148,51,224,255,171721391
salsa,194,141,239,255,172235860
wood_chip,151,205,60,255,173021219
cooked__catsup,88,154,106,255,173344612
cooked__diced__chorizo,182,236,140,255,173595057
place_mat,61,211,134,255,173747198
apple_pie,103,214,97,255,173878879
cooked__diced__halibut,123,110,97,255,174495602
bottle_of_pesticide,126,97,77,255,174854104
shampoo,228,213,137,255,175117185
urinal,241,245,109,255,175612017
cooked__quinoa,112,158,73,255,177640077
pastry_cutter,249,77,110,255,178030020
chia_seed_bag,135,141,162,255,178440307
diced__eggplant,66,98,168,255,178556635
isopropanol,229,111,95,255,179843139
cooked__diced__toast,173,58,214,255,180064870
acorn,152,225,144,255,180267096
bait,243,228,218,255,180865293
free_weight_rack,185,85,107,255,180919430
wall_socket,230,91,127,255,181554377
dress_shirt,55,82,147,255,183415320
eggplant,121,81,109,255,184795694
cooked__pesto,224,255,210,255,185450908
cooked__chicken_curry,137,117,64,255,186568295
diced__lettuce,138,235,181,255,186931524
tenderloin,222,144,176,255,187648450
diced__melon,209,176,93,255,188123054
projector,253,145,73,255,189798246
chopped_lettuce,80,99,231,255,190114685
jar_of_sesame_seed,207,65,59,255,190712476
white_sauce_bottle,226,186,242,255,192261474
half_buttermilk_pancake,135,57,177,255,192636330
cooked__fritter_batter,184,130,158,255,195134506
carton_of_milk,242,251,251,255,195774367
penny,82,123,170,255,196323095
desk_organizer,65,182,149,255,196411816
poinsettia,167,136,55,255,196491973
vaseline,156,235,254,255,196830372
bottle_of_black_pepper,119,199,204,255,197641082
ice_cube,149,152,90,255,200163060
olive,163,218,147,255,201013807
cherry_tomato,248,209,54,255,201076127
fruitcake,187,186,147,255,201413810
cooked__diced__potato,145,178,114,255,203230324
pet_bed,64,133,213,255,204536335
mortar,175,129,160,255,204725939
diced__bamboo,131,155,75,255,207502929
jelly_bean,217,68,89,255,207975316
toasting_fork,60,255,190,255,208495046
tobacco_pipe,103,68,154,255,209677201
half_pear,160,57,94,255,209794516
ginger,130,243,186,255,210229154
diced__tomato,239,243,245,255,211148799
beefsteak_tomato,209,248,222,255,211238170
space_heater,150,172,130,255,211654331
diced__taco,67,188,224,255,211696819
cooked__diced__pomelo,100,55,163,255,211866770
key,243,186,193,255,211899165
footstool,60,56,66,255,212311542
diced__fruitcake,95,141,70,255,213437486
margarita,173,217,141,255,213778484
mousetrap,172,141,66,255,213815627
sliced_melon,99,220,212,255,215574354
fish_stew,86,167,144,255,216703001
half_vanilla_flower,244,81,196,255,218787859
cooked__diced__bagel_dough,145,67,100,255,220220845
tennis_ball,72,97,105,255,220668388
head_cabbage,125,177,121,255,220821907
conditioner_dispenser,155,140,251,255,221567194
omelet,129,164,217,255,222344790
cooked__diced__chocolate_biscuit,55,128,114,255,223785426
half_brisket,221,60,220,255,224455222
tile,235,55,84,255,226130419
half_pomegranate,58,121,144,255,227922559
chicken_soup_carton,198,122,149,255,228285628
beer_bottle,175,68,131,255,229387440
soft_roll,192,56,130,255,229923326
box_of_barley,122,176,253,255,229976946
diced__toast,242,119,225,255,230723180
ruler,188,136,175,255,231359081
staple,218,171,237,255,232276532
vest,246,87,245,255,238476475
salt,172,170,79,255,238529518
diced__durian,95,58,173,255,239007708
diced__hamburger,122,231,170,255,239198918
diced__oxtail,68,114,145,255,239582269
dahlia_flower,184,144,241,255,239978006
salsa_bottle,102,191,215,255,240771660
chanterelle,143,201,234,255,240787717
tortilla_chips,203,141,138,255,240908792
cooked__diced__pastry,152,210,254,255,241585331
cooked__diced__prawn,192,187,191,255,241641887
chicken_broth_carton,58,111,239,255,242102160
cooked__green_tea_latte,84,103,159,255,242153956
strawberry,96,197,195,255,242653321
bottle_of_disinfectant,160,184,251,255,243144071
air_conditioner,213,180,126,255,243691583
brownie,97,87,152,255,243696965
bottle_of_fruit_punch,66,126,50,255,244792415
