#cur_kf_id,numAddedSmartF,numAddedImuF,numAddedNoMotionF,numAddedConstantF,numAddedBetweenStereoF,state_size,landmark_count
0,0,0,0,0,0,3,0
1,227,1,0,0,0,6,227
2,234,1,0,0,0,9,450
3,287,1,0,0,0,12,531
4,0,1,1,0,0,15,553
5,295,1,0,0,0,18,575
6,288,1,0,0,0,21,575
7,0,1,1,0,0,24,575
8,298,1,0,0,0,27,595
9,259,1,0,0,0,30,633
10,0,1,1,0,0,33,732
11,0,1,1,0,0,36,862
12,0,1,1,0,0,39,986
13,0,1,1,0,0,42,1060
14,0,1,1,0,0,45,1111
15,0,1,1,0,0,48,1135
16,0,1,1,0,0,51,1220
17,275,1,0,0,0,54,1328
18,258,1,0,0,0,57,1499
19,279,1,0,0,0,60,1765
20,301,1,0,0,0,63,2005
21,293,1,0,0,0,66,2165
22,278,1,0,0,0,69,2284
23,281,1,0,0,0,72,2519
24,287,1,0,0,0,75,2748
25,0,1,1,0,0,78,2778
26,294,1,0,0,0,78,2902
27,269,1,0,0,0,78,3117
28,288,1,0,0,0,78,3338
29,285,1,0,0,0,78,3487
30,277,1,0,0,0,78,3515
31,303,1,0,0,0,78,3572
32,264,1,0,0,0,78,3655
33,272,1,0,0,0,78,3828
34,272,1,0,0,0,78,4032
35,264,1,0,0,0,78,4213
36,0,1,1,0,0,78,4266
37,283,1,0,0,0,78,4266
38,278,1,0,0,0,78,4365
39,288,1,0,0,0,78,4492
40,288,1,0,0,0,78,4610
41,267,1,0,0,0,78,4831
42,262,1,0,0,0,78,5044
43,258,1,0,0,0,78,5224
44,266,1,0,0,0,78,5413
45,265,1,0,0,0,78,5547
46,280,1,0,0,0,78,5646
47,301,1,0,0,0,78,5773
48,253,1,0,0,0,78,5927
49,242,1,0,0,0,78,6148
50,253,1,0,0,0,78,6370
51,265,1,0,0,0,78,6538
52,273,1,0,0,0,78,6774
53,243,1,0,0,0,78,6983
54,269,1,0,0,0,78,7230
55,288,1,0,0,0,78,7496
56,279,1,0,0,0,78,7595
57,286,1,0,0,0,78,7814
58,297,1,0,0,0,78,8081
59,299,1,0,0,0,78,8355
60,251,1,0,0,0,78,8560
61,255,1,0,0,0,78,8726
62,245,1,0,0,0,78,8877
63,242,1,0,0,0,78,9078
64,0,1,0,0,0,78,9289
65,250,1,0,0,0,78,9527
66,278,1,0,0,0,78,9786
67,280,1,0,0,0,78,10016
68,285,1,0,0,0,78,10111
69,0,1,1,0,0,78,10143
70,295,1,0,0,0,78,10261
71,285,1,0,0,0,78,10518
72,272,1,0,0,0,78,10670
73,288,1,0,0,0,78,10698
74,267,1,0,0,0,78,10774
75,276,1,0,0,0,78,10860
76,298,1,0,0,0,78,10912
77,274,1,0,0,0,78,11053
78,273,1,0,0,0,78,11225
79,292,1,0,0,0,78,11317
80,280,1,0,0,0,78,11464
81,280,1,0,0,0,78,11549
82,298,1,0,0,0,78,11574
83,280,1,0,0,0,78,11602
84,289,1,0,0,0,78,11693
85,272,1,0,0,0,78,11818
86,292,1,0,0,0,78,11912
87,286,1,0,0,0,78,11941
88,277,1,0,0,0,78,12005
89,270,1,0,0,0,78,12092
90,272,1,0,0,0,78,12270
91,270,1,0,0,0,78,12457
92,264,1,0,0,0,78,12642
93,288,1,0,0,0,78,12903
94,282,1,0,0,0,78,13174
95,0,1,0,0,0,78,13465
96,0,1,0,0,0,78,13741
97,0,1,0,0,0,78,14038
98,297,1,0,0,0,78,14317
99,0,1,0,0,0,78,14597
100,0,1,0,0,0,78,14835
101,0,1,0,0,0,78,14918
102,0,1,0,0,0,78,15211
103,301,1,0,0,0,78,15489
104,287,1,0,0,0,78,15731
105,270,1,0,0,0,78,15957
106,285,1,0,0,0,78,16207
107,290,1,0,0,0,78,16463
108,265,1,0,0,0,78,16653
109,299,1,0,0,0,78,16787
110,0,1,1,0,0,78,16787
111,285,1,0,0,0,78,16821
112,281,1,0,0,0,78,17050
113,274,1,0,0,0,78,17310
114,295,1,0,0,0,78,17584
115,294,1,0,0,0,78,17841
116,280,1,0,0,0,78,17988
117,261,1,0,0,0,78,18095
118,270,1,0,0,0,78,18167
119,264,1,0,0,0,78,18269
120,259,1,0,0,0,78,18413
121,271,1,0,0,0,78,18562
122,305,1,0,0,0,78,18622
123,283,1,0,0,0,78,18702
124,289,1,0,0,0,78,18786
125,295,1,0,0,0,78,18837
126,0,1,1,0,0,78,18837
127,286,1,0,0,0,78,18837
128,292,1,0,0,0,78,18864
129,278,1,0,0,0,78,19043
130,261,1,0,0,0,78,19217
131,255,1,0,0,0,78,19349
132,280,1,0,0,0,78,19462
133,248,1,0,0,0,78,19588
134,254,1,0,0,0,78,19725
135,266,1,0,0,0,78,19894
136,264,1,0,0,0,78,20014
137,300,1,0,0,0,78,20142
138,279,1,0,0,0,78,20240
139,284,1,0,0,0,78,20334
140,298,1,0,0,0,78,20400
141,295,1,0,0,0,78,20554
142,299,1,0,0,0,78,20783
143,278,1,0,0,0,78,20932
144,293,1,0,0,0,78,21055
145,288,1,0,0,0,78,21171
146,284,1,0,0,0,78,21253
147,0,1,1,0,0,78,21307
148,283,1,0,0,0,78,21358
149,270,1,0,0,0,78,21411
150,0,1,1,0,0,78,21458
151,293,1,0,0,0,78,21507
152,0,1,1,0,0,78,21532
153,0,1,1,0,0,78,21581
154,273,1,0,0,0,78,21606
155,279,1,0,0,0,78,21628
156,0,1,1,0,0,78,21649
157,294,1,0,0,0,78,21670
158,292,1,0,0,0,78,21693
159,276,1,0,0,0,78,21741
160,292,1,0,0,0,78,21790
161,0,1,1,0,0,78,21810
162,0,1,1,0,0,78,21835
163,279,1,0,0,0,78,21865
164,0,1,1,0,0,78,21893
165,0,1,1,0,0,78,21982
166,307,1,0,0,0,78,22008
167,302,1,0,0,0,78,22037
168,288,1,0,0,0,78,22124
169,261,1,0,0,0,78,22240
170,284,1,0,0,0,78,22321
171,285,1,0,0,0,78,22352
172,289,1,0,0,0,78,22375
173,305,1,0,0,0,78,22398
