#timestamp_lkf,mono_status,stereo_status,nr_keypoints,nrDetectedFeatures,nrTrackerFeatures,nrMonoInliers,nrMonoPutatives,nrStereoInliers,nrStereoPutatives,monoRansacIters,stereoRansacIters,nrValidRKP,nrNoLeftRectRKP,nrNoRightRectRKP,nrNoDepthRKP,nrFailedArunRKP,featureDetectionTime,featureTrackingTime,monoRansacTime,stereoRansacTime,featureSelectionTime,extracted_corners,need_n_corners
1751615316753371000,VALID,INVALID,227,0,134,12,134,0,0,0,0,170,9,10,160,0,0,1,16,0,0,0,0
1751615316970794439,VALID,INVALID,234,0,74,11,74,0,0,0,0,170,3,7,117,0,0,0,14,0,0,0,0
1751615317186959505,VALID,VALID,287,0,228,206,228,94,114,0,0,173,2,9,125,0,0,1,0,0,0,0,0
1751615317401767015,LOW_DISPARITY,VALID,290,0,282,268,282,121,140,0,0,172,2,10,120,0,0,0,0,0,0,0,0
1751615317615556717,VALID,VALID,295,0,290,273,290,110,131,0,0,172,1,9,130,0,0,0,0,0,0,0,0
1751615317825954676,VALID,VALID,288,0,294,288,294,132,148,0,0,167,0,8,119,0,0,0,0,0,0,0,0
1751615318032253981,LOW_DISPARITY,VALID,287,0,288,287,288,145,153,0,0,163,0,7,118,0,0,0,0,0,0,0,0
1751615318535342216,VALID,VALID,298,0,286,278,286,128,141,0,0,173,1,8,124,0,0,0,0,0,0,0,0
1751615318764677763,VALID,VALID,259,0,295,221,295,47,76,0,0,185,3,5,140,0,0,0,2,0,0,0,0
1751615318990565777,LOW_DISPARITY,VALID,208,0,244,109,244,23,37,0,0,216,0,7,120,0,0,0,19,0,0,0,0
1751615319221622705,LOW_DISPARITY,VALID,215,0,203,85,203,25,36,0,0,199,1,7,126,0,0,0,18,0,0,0,0
1751615319426081896,LOW_DISPARITY,VALID,250,0,206,126,206,44,55,0,0,162,2,2,164,0,0,0,10,0,0,0,0
1751615319630288124,LOW_DISPARITY,VALID,263,0,249,189,249,72,84,0,0,161,2,9,151,0,0,0,1,0,0,0,0
1751615321983433247,LOW_DISPARITY,VALID,271,0,262,220,262,81,97,0,0,165,3,10,135,0,0,0,1,0,0,0,0
1751615326983789921,LOW_DISPARITY,VALID,284,0,270,260,270,111,130,0,0,158,2,12,122,0,0,0,0,0,0,0,0
1751615330582705736,LOW_DISPARITY,VALID,272,0,279,187,279,55,80,0,0,209,1,15,139,0,0,0,6,0,0,0,0
1751615331587571383,VALID,VALID,275,0,201,167,201,81,95,0,0,196,3,11,99,0,0,0,0,0,0,0,0
1751615331820255280,VALID,VALID,258,0,231,87,231,60,65,0,0,263,11,7,121,0,0,0,18,0,0,0,0
1751615332052896738,VALID,VALID,279,0,114,13,114,5,7,0,0,265,1,6,108,0,0,0,15,0,0,0,0
1751615332285558701,VALID,VALID,301,0,259,61,259,26,40,0,0,325,5,8,161,0,0,0,18,0,0,0,0
1751615332518384457,VALID,VALID,293,0,273,133,273,48,93,0,0,304,4,5,120,0,0,0,19,0,0,0,0
1751615332751172066,VALID,VALID,278,0,281,159,281,48,96,0,0,275,3,9,113,0,0,0,19,0,0,0,0
1751615332983923435,VALID,VALID,281,0,268,46,268,16,21,0,0,334,12,4,153,0,0,0,19,0,0,0,0
1751615333216636419,VALID,VALID,287,0,267,58,267,16,28,0,0,343,10,6,137,0,0,0,19,0,0,0,0
1751615333449464083,LOW_DISPARITY,VALID,283,0,287,253,287,140,161,0,0,214,3,4,96,0,0,0,0,0,0,0,0
1751615333682260036,VALID,VALID,294,0,283,170,283,87,107,0,0,269,4,13,121,0,0,0,13,0,0,0,0
1751615333915020466,VALID,VALID,269,0,171,54,171,42,47,0,0,273,9,6,98,0,0,0,17,0,0,0,0
1751615334147743464,VALID,VALID,288,0,182,67,182,55,61,0,0,350,3,5,45,0,0,0,17,0,0,0,0
1751615334380507469,VALID,VALID,285,0,263,136,263,120,122,0,0,346,5,10,51,0,0,1,19,0,0,0,0
1751615334613270044,VALID,VALID,277,0,285,249,285,199,204,0,0,267,4,6,36,0,0,0,0,0,0,0,0
1751615334845994473,VALID,VALID,303,0,277,246,277,208,212,0,0,277,3,6,48,0,0,0,0,0,0,0,0
1751615335078678846,VALID,VALID,264,0,297,181,297,155,160,0,0,306,5,8,61,0,0,0,11,0,0,0,0
1751615335311801195,VALID,VALID,272,0,183,99,183,83,87,0,0,269,7,8,72,0,0,0,17,0,0,0,0
1751615335512285709,VALID,VALID,272,0,175,68,175,55,59,0,0,279,8,11,81,0,0,0,17,0,0,0,0
1751615335712811470,VALID,VALID,264,0,246,83,246,60,62,0,0,308,8,9,102,0,0,1,18,0,0,0,0
1751615335913378954,LOW_DISPARITY,VALID,289,0,264,236,264,162,168,0,0,220,5,6,86,0,0,0,0,0,0,0,0
1751615336314205408,VALID,VALID,283,0,289,283,289,184,191,0,0,206,2,4,77,0,0,0,0,0,0,0,0
1751615336547168493,VALID,VALID,278,0,283,179,283,107,122,0,0,277,3,5,97,0,0,0,9,0,0,0,0
1751615336780104637,VALID,VALID,288,0,277,161,277,79,98,0,0,272,5,5,122,0,0,0,15,0,0,0,0
1751615337013012171,VALID,VALID,288,0,287,170,287,72,102,0,0,295,5,9,96,0,0,0,13,0,0,0,0
1751615337245904446,VALID,VALID,267,0,249,46,249,24,28,0,0,314,15,7,134,0,0,0,19,0,0,0,0
1751615337478868008,VALID,VALID,262,0,218,49,218,35,35,0,0,319,11,4,97,0,0,0,18,0,0,0,0
1751615337711803675,VALID,VALID,258,0,222,78,222,54,63,0,0,300,10,9,83,0,0,0,18,0,0,0,0
1751615337944709778,VALID,VALID,266,0,220,77,220,44,57,0,0,298,9,10,92,0,0,0,18,0,0,0,0
1751615338177588463,VALID,VALID,265,0,254,131,254,99,103,0,0,285,4,10,89,0,0,0,19,0,0,0,0
1751615338410535812,VALID,VALID,280,0,265,181,265,120,125,0,0,279,5,7,73,0,0,0,4,0,0,0,0
1751615338643474579,VALID,VALID,301,0,279,174,279,105,117,0,0,304,3,7,92,0,0,0,9,0,0,0,0
1751615338876383305,VALID,VALID,253,0,282,99,282,54,71,0,0,331,12,8,85,0,0,0,19,0,0,0,0
1751615339109263897,VALID,VALID,242,0,124,21,124,12,16,0,0,278,5,12,50,0,0,0,16,0,0,0,0
1751615339342465401,VALID,VALID,253,0,168,31,168,25,26,0,0,321,4,9,56,0,0,0,17,0,0,0,0
1751615339544003963,VALID,VALID,265,0,245,97,245,72,75,0,0,341,4,8,60,0,0,0,19,0,0,0,0
1751615339745590687,VALID,VALID,273,0,225,37,225,25,26,0,0,365,16,11,69,0,0,0,18,0,0,0,0
1751615339947225571,VALID,VALID,243,0,159,34,159,23,25,0,0,265,9,1,93,0,0,0,17,0,0,0,0
1751615340148908854,VALID,VALID,269,0,133,22,133,7,13,0,0,273,11,5,91,0,0,0,16,0,0,0,0
1751615340350464106,VALID,VALID,288,0,144,22,144,18,19,0,0,304,9,5,92,0,0,0,16,0,0,0,0
1751615340552116871,VALID,VALID,279,0,284,180,284,114,128,0,0,269,11,9,94,0,0,0,13,0,0,0,0
1751615340754976988,VALID,VALID,286,0,242,67,242,49,50,0,0,329,4,7,121,0,0,0,19,0,0,0,0
1751615340957978725,VALID,VALID,297,0,107,30,107,27,27,0,0,321,8,7,38,0,0,0,16,0,0,0,0
1751615341161122561,VALID,VALID,299,0,186,25,186,18,19,0,0,404,6,8,42,0,0,0,18,0,0,0,0
1751615341364408016,VALID,VALID,251,0,220,46,220,42,44,0,0,361,8,4,52,0,0,0,18,0,0,0,0
1751615341566087961,VALID,VALID,255,0,230,89,230,59,65,0,0,307,16,12,61,0,0,0,18,0,0,0,0
1751615341767614365,VALID,VALID,245,0,219,94,219,68,71,0,0,296,4,13,57,0,0,0,18,0,0,0,0
1751615341969186306,VALID,VALID,242,0,137,41,137,28,34,0,0,272,8,10,48,0,0,0,17,0,0,0,0
1751615342170804262,FEW_MATCHES,VALID,238,0,27,8,27,16,18,0,0,155,1,4,78,0,0,0,14,0,0,0,0
1751615342372467756,VALID,FEW_MATCHES,250,0,102,12,102,4,6,0,0,222,3,2,113,0,0,0,15,0,0,0,0
1751615342573942184,VALID,FEW_MATCHES,278,0,205,19,205,4,5,0,0,259,4,1,200,0,0,0,18,0,0,0,0
1751615342806481361,VALID,VALID,280,0,241,50,241,21,23,0,0,282,7,6,176,0,0,0,18,0,0,0,0
1751615343038967609,VALID,VALID,285,0,255,190,255,76,95,0,0,222,5,3,120,0,0,0,2,0,0,0,0
1751615343271402836,LOW_DISPARITY,VALID,283,0,281,251,281,125,148,0,0,196,3,4,110,0,0,0,0,0,0,0,0
1751615343570207119,VALID,VALID,295,0,283,177,283,62,92,0,0,266,5,6,124,0,0,0,9,0,0,0,0
1751615343802794933,VALID,VALID,285,0,131,28,131,18,19,0,0,257,6,12,113,0,0,0,16,0,0,0,0
1751615344035331488,VALID,VALID,272,0,265,120,265,84,88,0,0,303,1,7,106,0,0,0,19,0,0,0,0
1751615344267819166,VALID,VALID,288,0,272,260,272,182,185,0,0,212,4,9,75,0,0,0,0,0,0,0,0
1751615344500255823,VALID,VALID,267,0,286,191,286,140,143,0,0,257,6,6,93,0,0,0,5,0,0,0,0
1751615344732814789,VALID,VALID,276,0,267,190,267,130,134,0,0,245,5,10,93,0,0,0,3,0,0,0,0
1751615344965368986,VALID,VALID,298,0,276,246,276,163,167,0,0,225,4,9,90,0,0,0,0,0,0,0,0
1751615345197875023,VALID,VALID,274,0,267,133,267,94,100,0,0,282,3,7,116,0,0,0,19,0,0,0,0
1751615345430330753,VALID,VALID,273,0,215,101,215,67,70,0,0,269,8,9,101,0,0,0,18,0,0,0,0
1751615345662852526,VALID,VALID,292,0,269,200,269,118,134,0,0,248,3,10,100,0,0,0,2,0,0,0,0
1751615345895436525,VALID,VALID,280,0,289,133,289,73,82,0,0,308,9,11,108,0,0,0,19,0,0,0,0
1751615346127972841,VALID,VALID,280,0,279,195,279,120,133,0,0,257,3,8,96,0,0,0,4,0,0,0,0
1751615346360459328,VALID,VALID,298,0,280,273,280,177,190,0,0,218,6,4,77,0,0,0,0,0,0,0,0
1751615346593172073,VALID,VALID,280,0,298,252,298,163,174,0,0,232,0,4,90,0,0,0,0,0,0,0,0
1751615346793499708,VALID,VALID,289,0,280,198,280,114,127,0,0,273,2,7,89,0,0,0,3,0,0,0,0
1751615346993862629,VALID,VALID,272,0,288,147,288,98,105,0,0,288,5,7,113,0,0,0,19,0,0,0,0
1751615347194260597,VALID,VALID,292,0,272,198,272,125,140,0,0,261,4,8,93,0,0,0,2,0,0,0,0
1751615347394693375,VALID,VALID,286,0,291,257,291,173,184,0,0,228,5,7,80,0,0,0,0,0,0,0,0
1751615347594926596,VALID,VALID,277,0,283,213,283,138,152,0,0,254,4,9,80,0,0,0,2,0,0,0,0
1751615347827711821,VALID,VALID,270,0,272,183,272,110,128,0,0,260,8,6,85,0,0,0,4,0,0,0,0
1751615348060460091,VALID,VALID,272,0,219,94,219,51,68,0,0,259,11,6,121,0,0,0,18,0,0,0,0
1751615348293169260,VALID,VALID,270,0,160,83,160,37,53,0,0,249,4,9,85,0,0,0,17,0,0,0,0
1751615348525840998,VALID,VALID,264,0,254,79,254,52,65,0,0,302,8,14,115,0,0,0,18,0,0,0,0
1751615348758636951,VALID,VALID,288,0,219,27,219,11,19,0,0,306,10,9,155,0,0,0,17,0,0,0,0
1751615348991403580,VALID,INVALID,282,0,101,11,101,11,19,0,0,221,4,2,145,0,0,0,16,0,0,0,0
1751615349257375956,INVALID,INVALID,291,0,11,11,101,11,19,0,0,67,2,5,217,0,0,0,0,0,0,0,0
1751615349490061045,INVALID,INVALID,276,0,9,11,101,11,19,0,0,99,2,8,167,0,0,0,0,0,0,0,0
1751615349690332890,INVALID,INVALID,297,0,6,11,101,11,19,0,0,102,8,8,185,0,0,0,0,0,0,0,0
1751615349891950130,VALID,INVALID,297,0,47,18,47,11,19,0,0,90,6,4,226,0,0,0,14,0,0,0,0
