#cur_kf_id,timestamp_kf,numSF,numValid,numDegenerate,numFarPoints,numOutliers,numCheirality,numNonInitialized,meanPixelError,maxPixelError,meanTrackLength,maxTrackLength,nrElementsInMatrix,nrZeroElementsInMatrix
0,1751615316539804697,0,0,0,0,0,0,0,0,0,0,0,225,204
1,1751615316753371000,0,0,0,0,0,0,0,0,0,0,0,900,306
2,1751615316970794439,11,1,0,0,4,6,10,0,0,2,2,2025,924
3,1751615317186959505,208,87,67,0,50,4,121,0,0,2.0114942528735633154,3,3600,1920
4,1751615317401767015,208,85,67,0,53,3,123,0,0,2.0117647058823528994,3,5625,3438
5,1751615317615556717,292,53,55,9,158,17,239,0,0,2.7169811320754715389,4,8100,5190
6,1751615317825954676,312,53,61,9,179,10,259,0,0,3.188679245283018826,4,11025,7536
7,1751615318032253981,312,53,61,9,179,10,259,0,0,3.188679245283018826,4,14400,10404
8,1751615318535342216,312,40,49,19,193,11,272,0,0,3.875,5,18225,13362
9,1751615318764677763,325,41,42,11,217,14,284,0,0,4.7560975609756095395,6,22500,16770
10,1751615318990565777,325,41,42,11,217,14,284,0,0,4.7560975609756095395,6,27225,20988
11,1751615319221622705,325,41,42,11,217,14,284,0,0,4.7560975609756095395,6,32400,25656
12,1751615319426081896,325,41,42,11,217,14,284,0,0,4.7560975609756095395,6,38025,30774
13,1751615319630288124,325,41,42,11,217,14,284,0,0,4.7560975609756095395,6,44100,36342
14,1751615321983433247,325,41,42,11,216,15,284,0,0,4.7804878048780485855,6,50625,42360
15,1751615326983789921,325,43,39,13,217,13,282,0,0,4.7441860465116283407,6,57600,48828
16,1751615330582705736,325,43,39,13,217,13,282,0,0,4.7441860465116283407,6,65025,55746
17,1751615331587571383,431,100,30,14,266,21,331,0,0,4.8200000000000002842,9,72900,60666
18,1751615331820255280,454,88,30,14,298,24,366,0,0,4.6931818181818183433,9,81225,67692
19,1751615332052896738,461,87,30,14,305,25,374,0,0,4.7241379310344830955,9,90000,75960
20,1751615332285558701,519,91,30,14,359,25,428,0,0,4.6043956043956040247,9,99225,84678
21,1751615332518384457,602,88,30,14,443,27,514,0,0,4.6931818181818183433,9,108900,93846
22,1751615332751172066,654,88,30,14,478,44,566,0,0,4.6931818181818183433,9,119025,103464
23,1751615332983923435,665,90,30,14,485,46,575,0,0,4.6333333333333337478,9,129600,113532
24,1751615333216636419,713,95,30,14,520,54,618,0,0,4.4947368421052633636,9,140625,124050
25,1751615333449464083,713,96,30,15,519,53,617,0,0,4.46875,9,152100,135018
26,1751615333682260036,852,112,25,31,616,68,740,0,0,4.4285714285714288252,9,152100,134442
27,1751615333915020466,853,102,27,29,634,61,751,0,0,4.5392156862745096646,9,152100,134874
28,1751615334147743464,697,79,15,21,534,48,618,0,0,3.9240506329113924444,9,152100,134730
29,1751615334380507469,713,120,13,14,521,45,593,0,0,2.9500000000000001776,9,152100,135126
30,1751615334613270044,819,180,10,15,553,61,639,0,0,2.9555555555555557135,9,152100,135378
31,1751615334845994473,822,185,7,14,560,56,637,0,0,3.3891891891891892108,9,152100,135450
32,1751615335078678846,847,177,7,16,593,54,670,0,0,3.5988700564971751739,9,152100,135342
33,1751615335311801195,852,144,7,16,632,53,708,0,0,3.3472222222222223209,9,152100,135450
34,1751615335512285709,864,157,6,15,634,52,707,0,0,3.2356687898089173672,9,152100,135594
35,1751615335712811470,891,161,6,15,653,56,730,0,0,3.1552795031055902442,8,152100,135414
